,Unnamed: 0,title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
0,0,"M 6.5 - 42 km W of Sola, Vanuatu",6.5,16-08-2023 12:47,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.88,167.16,"Sola, Vanuatu",Oceania,Vanuatu
1,1,"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,19-07-2023 00:22,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.81,-88.13,"Intipucá, El Salvador",North America,El Salvador
2,2,"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,17-07-2023 03:05,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.19,-70.37,"Loncopué, Argentina",South America,Argentina
3,3,"M 7.2 - 98 km S of Sand Point, Alaska",7.2,16-07-2023 06:48,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.38,-160.7,"Sand Point, Alaska",North America,United States
4,4,M 7.3 - Alaska Peninsula,7.3,16-07-2023 06:48,0,5,,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.8,Alaska Peninsula,North America,United States
5,5,"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10-07-2023 20:28,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.02,-61.1,"Codrington, Antigua and Barbuda",North America,Antigua and Barbuda
6,6,M 6.9 - Tonga,6.9,02-07-2023 10:27,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.85,-174.94,Tonga,Oceania,Tonga
7,7,M 7.2 - south of the Fiji Islands,7.2,15-06-2023 18:06,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.98,-177.21,the Fiji Islands,Oceania,Fiji
8,8,M 6.6 - Panama-Colombia border region,6.6,25-05-2023 03:05,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.89,-77.12,Panama-Colombia border region,South America,Colombia
9,9,M 7.1 - southeast of the Loyalty Islands,7.1,20-05-2023 01:51,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.06,170.46,the Loyalty Islands,Europe,France
10,10,M 7.7 - southeast of the Loyalty Islands,7.7,19-05-2023 02:57,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.23,170.69,the Loyalty Islands,Europe,France
11,11,"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,10-05-2023 16:02,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6,-174.61,"Hihifo, Tonga",Oceania,Tonga
12,12,M 6.6 - south of the Fiji Islands,6.6,28-04-2023 03:13,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.27,178.42,the Fiji Islands,Oceania,Fiji
13,13,"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,24-04-2023 20:00,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.78,98.53,"Teluk Dalam, Indonesia",Asia,Indonesia
14,14,"M 7.1 - Kermadec Islands, New Zealand",7.1,24-04-2023 00:41,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.02,-177.9,"Kermadec Islands, New Zealand",Oceania,New Zealand
15,15,M 6.7 - south of the Fiji Islands,6.7,18-04-2023 04:31,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.28,179.39,the Fiji Islands,Oceania,Fiji
16,16,"M 7.0 - 96 km N of Tuban, Indonesia",7.0,14-04-2023 09:55,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.03,112.03,"Tuban, Indonesia",Asia,Indonesia
17,17,"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,03-04-2023 03:06,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.78,158.48,"the Kamchatka Peninsula, Russia",Asia,Russian Federation
18,18,"M 7.0 - New Guinea, Papua New Guinea",7.0,02-04-2023 18:04,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.29,143.16,"New Guinea, Papua New Guinea",Asia,Papua New Guinea
19,19,"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,22-03-2023 16:00,4,4,green,0,656,us,97,1.622,33.0,mww,209.976,-23.48,-66.51,"San Antonio de los Cobres, Argentina",South America,Argentina
20,20,"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,21-03-2023 16:47,7,5,green,0,1350,us,134,2.53,13.0,mww,187.589,36.52,70.98,"Jurm, Afghanistan",Asia,Afghanistan
21,21,M 6.8 - near the coast of Ecuador,6.8,18-03-2023 17:12,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.85,-79.8,Ecuador,South America,Ecuador
22,23,"M 6.9 - Kermadec Islands, New Zealand",6.9,04-03-2023 06:41,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.47,-178.79,"Kermadec Islands, New Zealand",Oceania,New Zealand
23,24,"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,02-03-2023 18:04,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.36,166.38,"Port-Olry, Vanuatu",Oceania,Vanuatu
24,25,"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,01-03-2023 05:36,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.81,149.49,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
25,26,"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,23-02-2023 00:37,9,7,green,0,737,us,128,1.783,20.0,mww,20.522,38.07,73.21,"Murghob, Tajikistan",Asia,Tajikistan
26,27,"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,06-02-2023 10:24,9,9,orange,0,1411,us,135,0.85,17.0,mww,10.0,38.02,37.2,"Ekinözü, Turkey",Asia,Turkey
27,28,"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,06-02-2023 01:28,9,8,yellow,0,800,us,108,0.218,44.0,mww,14.497,37.41,36.83,"Nurdağı, Turkey",Asia,Turkey
28,29,M 7.8 - Central Turkey,7.8,06-02-2023 01:17,9,9,red,0,2910,us,118,1.919,32.0,mww,17.925,37.2,37.0,Central Turkey,Asia,Turkey
29,30,M 6.8 - ,6.8,20-01-2023 22:09,4,3,green,0,718,us,60,5.129,61.0,mww,610.671,-26.72,-63.04,"Santiago del Estero, Argentina",South America,Argentina
30,31,"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,18-01-2023 06:06,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.74,127.05,"Tobelo, Indonesia",Asia,Indonesia
31,32,"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,09-01-2023 17:47,5,7,green,0,957,us,114,1.575,21.0,mww,105.249,-7.09,130.04,"Pulau Pulau Tanimbar, Indonesia",Asia,Indonesia
32,33,M 7.0 - Vanuatu,7.0,08-01-2023 12:32,8,7,green,1,768,us,116,6.096,36.0,mww,29.0,-14.94,166.88,Vanuatu,Oceania,Vanuatu
33,34,"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,04-12-2022 19:24,5,5,green,1,720,us,152,2.587,26.0,mww,38.0,-15.4,-172.97,"Hihifo, Tonga",Oceania,Tonga
34,35,"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,22-11-2022 02:03,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.8,159.6,"Malango, Solomon Islands",Oceania,Solomon Islands
35,36,"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,18-11-2022 13:37,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.96,100.74,"Bengkulu, Indonesia",Asia,Indonesia
36,37,M 7.0 - ,7.0,12-11-2022 07:09,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.05,-178.35,"Eastern, Fiji",Oceania,Fiji
37,38,"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11-11-2022 10:48,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.29,-172.13,"Neiafu, Tonga",Oceania,Tonga
38,40,M 7.0 - south of the Fiji Islands,7.0,09-11-2022 09:51,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.04,178.38,the Fiji Islands,Oceania,Fiji
39,41,M 6.8 - south of the Fiji Islands,6.8,09-11-2022 09:38,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.97,178.36,the Fiji Islands,Oceania,Fiji
