title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,day,month,year
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.88,167.16,"Sola, Vanuatu",Oceania,Vanuatu,16,8,2023
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.81,-88.13,"Intipucá, El Salvador",North America,El Salvador,19,7,2023
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.19,-70.37,"Loncopué, Argentina",South America,Argentina,17,7,2023
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.38,-160.7,"Sand Point, Alaska",North America,United States,16,7,2023
M 7.3 - Alaska Peninsula,7.3,0,5,,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.8,Alaska Peninsula,North America,United States,16,7,2023
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.02,-61.1,"Codrington, Antigua and Barbuda",North America,Antigua and Barbuda,10,7,2023
M 6.9 - Tonga,6.9,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.85,-174.94,Tonga,Oceania,Tonga,2,7,2023
M 7.2 - south of the Fiji Islands,7.2,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.98,-177.21,the Fiji Islands,Oceania,Fiji,15,6,2023
M 6.6 - Panama-Colombia border region,6.6,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.89,-77.12,Panama-Colombia border region,South America,Colombia,25,5,2023
M 7.1 - southeast of the Loyalty Islands,7.1,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.06,170.46,the Loyalty Islands,Europe,France,20,5,2023
